name,country,sport,height
Connor Robbins,1,2,1.7
Mark Chen,3,3,1.98
Tammy Joseph,3,2,1.68
Kenneth Olson,3,1,1.64
Madison Mathis,2,1,1.8
John Brown,3,1,1.74
Vicki Baldwin,2,3,2.08
Jodi Sosa,1,1,1.79
Kristen Myers,1,1,1.69
Alicia Howard,2,3,1.88
Matthew Baxter,2,2,2.02
Louis Johnson,1,1,1.68
Kathy Edwards,2,1,1.78
Christine Hansen,1,2,1.95
Brittney Anderson,2,2,1.72
Natalie Kim MD,3,3,2.22
Leslie Kerr,1,2,2.01
Tonya Herman,2,1,1.68
Melanie Hunt,1,2,1.78
Vincent Powell,1,1,1.65
Mandy Murphy,1,2,1.97
Kenneth Sanford,1,3,1.97
Bruce Bernard,3,1,1.66
Matthew Stanley,1,3,2.23
Tyler Jones,3,1,1.86
John Estrada,1,3,2.09
Sheryl Beasley,1,2,1.83
Christopher Bell,2,1,1.52
Mark Mckinney,1,3,1.96
Richard Rice,3,3,2.23
Amy Medina,1,1,1.63
James Rodriguez II,1,2,2.07
Jaclyn Taylor,2,3,1.99
Alicia Jones,1,3,2.13
Sherry Bowman,2,3,1.88
Jasmine Bishop,3,1,1.59
Amanda Burgess,1,1,1.67
Heather Clark,4,2,1.94
Timothy Davis,1,2,1.86
Jessica Chapman,2,1,1.5
Bob Scott,2,1,1.61
Melissa Jackson,1,2,1.99
David Conway,1,3,2.14
Samuel Yang,3,2,1.98
Karen Barton,4,2,1.9
Nicholas Baker,1,1,1.84
Thomas Bennett,3,2,1.94
Chris Moore,4,3,2.18
Debbie Hamilton,1,1,1.73
Robert Wilson,1,3,2.01
Michael Chambers,1,1,1.84
Daniel Norris,1,3,1.89
Christina Peterson,3,3,1.92
Christine Ibarra,1,3,2.0
Nathaniel Woodward,1,3,1.92
Kimberly Bishop,1,3,1.92
Traci Jones,1,3,2.04
Michael Wheeler,3,3,1.97
Annette Brown,4,1,1.7
Robert Evans,1,3,2.16
Lisa Harper,4,2,1.97
Alicia Gibbs,2,3,1.81
Dennis White,2,3,2.22
Cody Huber,1,1,1.63
Nicholas Roth,1,2,1.89
Jessica Smith,4,3,1.82
Andrew Scott,2,2,1.88
Justin Odom,3,2,1.75
Sierra Simon,2,2,1.87
Caroline Johnson,4,2,2.18
Amy Reid,1,1,1.75
Casey Leon,1,3,2.14
Brian Arroyo,2,2,1.89
Ryan Bryan,3,2,1.98
Christian Scott,1,1,1.52
Mary Galloway,1,3,1.98
Frank Mason,1,3,1.96
John Valdez,1,3,2.04
Deanna Cortez,1,1,1.87
Mary Ward,3,2,1.98
Sara Hill,1,3,2.09
Frances Chapman,2,2,1.76
Kristy Evans,1,2,1.78
Donna Jackson,1,3,1.9
Rebecca Johnson,3,2,1.91
Michael Smith,2,2,1.75
Katherine Nguyen,2,3,1.96
Neil Thompson,1,3,1.89
Larry Key,1,2,1.75
Heather Guzman,1,1,1.62
Ronald Galloway,1,1,1.54
Mary Davidson,2,2,1.8
Gerald Ramos,1,3,1.92
Dennis Johnson,2,1,1.5
Christina Todd PhD,1,3,2.01
Patricia Franklin,1,1,1.5
Jason Trujillo,1,2,1.83
Shelley Andrews,3,2,2.03
Amanda Harrison,1,1,1.56
Stephanie Solomon,4,2,1.92
Nicole Bishop,3,3,1.96
Victor Cooper,2,2,2.21
Andrew Jimenez,1,1,1.66
Rebecca Garcia,3,2,2.06
Joyce Murphy,1,1,1.63
Veronica Randall,1,2,1.74
Kimberly Garcia,1,1,1.71
Erika Moore,1,1,1.5
Stephen Kennedy MD,2,3,1.91
Darrell Graham,3,3,1.95
William Lin,1,3,2.05
Stacey Duran,1,1,1.72
Sarah Ruiz,1,3,2.14
Amy Hutchinson,2,2,2.25
Tyrone Matthews,1,2,2.03
Vincent Nguyen,2,1,1.91
John Holder,1,1,1.74
Ryan Logan,1,2,1.76
Margaret Cabrera,2,2,1.88
Erin York,1,2,1.84
Nicholas Haney,1,2,1.85
Meghan Hoover,3,1,1.5
Travis Lewis,3,2,1.99
Kristin Williams,2,3,1.84
Carla Rogers,1,1,1.67
Dawn Howard,2,3,1.99
Kari Burns,1,3,2.02
Matthew Berger,2,2,2.06
Melissa Hays,1,3,1.89
Jerry Fields,1,3,2.21
Vicki Bradford,1,1,1.68
Sean Smith,1,2,1.92
Pamela Hernandez,1,1,1.64
Samuel Green,1,3,1.99
Alice Smith,1,2,1.8
Brittany Carrillo,2,3,2.05
Steven Maldonado,1,1,1.73
Kelly Moore,1,1,1.5
Patrick Brown,1,3,2.23
Laurie Cohen,3,2,2.01
Duane Norton,1,1,1.7
Kara Rogers,1,1,1.67
Donald Neal,4,3,2.3
Kendra Pratt,2,3,2.01
Melissa Guzman,4,2,1.82
Anne Patel,4,2,1.75
Matthew Holt,2,2,1.82
Elizabeth Kelly,1,2,1.9
Paul Cruz,1,1,1.61
Benjamin Spencer,3,3,1.9
Heather Cowan,2,1,1.61
Mark Price,4,1,1.59
Timothy Powers,3,1,1.67
Patricia Valenzuela,1,1,1.8
Lisa Hicks,1,1,1.73
Robin Harris,2,3,2.04
William Mills,2,2,2.01
David Matthews,1,3,2.1
Alexandra Daniels,1,2,1.96
Kathryn Montes,1,2,1.8
Nicole Thompson,1,3,1.89
Roger Foster PhD,1,1,1.84
Whitney Cook,1,2,1.58
Edward Walsh,1,1,1.87
Elizabeth Estrada,1,2,1.89
Alexandra Atkinson,2,2,2.07
Gabriel Davidson,1,1,1.64
Margaret Hayes,4,2,1.85
Diane Martin,1,1,1.79
Karl Cantu,1,3,1.99
Norman Ramsey,2,1,1.74
Teresa Murray,1,3,2.13
David Pope,1,2,1.75
Eric Davis,1,2,2.09
William Sanchez,1,2,1.99
Kyle Wheeler,3,3,2.06
John Palmer IV,2,3,2.22
Lori Williams,1,3,2.22
Richard Friedman,1,3,1.83
Jill Davis,2,2,1.74
Nicholas Brooks DDS,1,2,1.96
Tara Marshall,1,2,1.7
April Hancock,1,3,2.19
John Austin,2,1,1.68
Zachary Savage,1,2,1.89
Anita Lopez,4,3,2.07
Daniel Daniels,3,3,1.83
Jacob Young,1,1,1.67
Timothy Clark,1,3,1.84
Cassandra Pierce,1,1,1.57
Steven Carr,2,3,2.0
Gary Singh,4,3,2.0
Zachary Hall,1,1,1.76
Angel Marsh,1,3,1.97
Gregory Green,1,3,2.22
Samantha Mcpherson,2,3,1.9
Jeremy Mckee,4,2,1.94
Adam Figueroa,3,3,2.07
Carrie Curtis,2,2,1.83
Wyatt Mitchell,1,2,2.04
Sean Huffman,1,2,1.64
Amy Romero,4,1,1.59
William Nixon,4,1,1.65
Andrew Roberts,2,2,1.67
Alexis Anderson,1,1,1.63
Douglas Ferguson,4,1,1.67
Steven Johnson,4,2,1.95
Mr. Sean Stevens,2,3,1.81
Kevin Smith,1,2,1.85
Andrew Woods,2,1,1.81
Bradley Johnson,1,1,1.7
Ashley Carter,1,3,2.05
Micheal Acosta,1,2,1.58
Kimberly Mccullough,1,2,1.78
Anthony Oneal,1,1,1.75
Jenny Dodson,1,1,1.76
Katherine Haynes,1,1,1.72
Sara Martin,4,3,2.04
David Burnett,3,1,1.9
Michelle Sanders,2,1,1.55
Ricardo Hahn,2,3,2.22
Jennifer Barrett,1,3,1.81
Crystal Richardson,2,1,1.63
Tracey Hawkins,1,3,1.92
Jennifer Cruz,1,1,1.8
Ryan Garner,1,3,2.1
Sandy Williams,1,2,1.83
Regina White,1,2,2.07
Shawn Warren,1,2,1.89
Paul Johnson,1,1,1.73
Jeffrey Martin,2,2,2.03
Douglas Taylor,2,3,2.06
Isaac Martinez,2,3,2.23
Kimberly Frye,3,2,1.82
Ryan Thompson,1,3,2.21
Tina Andrade,2,1,1.61
Tracey Lindsey,3,2,1.83
Stephen Evans,1,1,1.8
Dustin Gray,3,1,1.75
Barbara Bolton DVM,4,2,1.9
Jacob Stark,1,2,1.9
Drew Jones,4,1,1.81
Bruce Miller,4,2,1.91
Cody Peck,1,2,1.85
Nicholas Brown,3,3,1.89
Tammy Pearson,1,2,1.86
Adam Williams,2,2,1.88
Frank Roberts,4,3,2.19
Rodney Anderson,1,2,2.1
Jessica Espinoza,1,3,2.07
Eric Gaines,2,2,1.86
Karen Gilbert,1,3,1.98
Lisa Harvey,1,2,1.66
Christopher Harris,2,3,2.08
James Anthony,1,3,2.09
Emma Harrington,2,1,1.64
Michelle Flynn,3,1,1.76
Crystal Young,3,1,1.8
Lindsay Hunter,4,3,2.06
Erika Reyes,4,1,1.79
Caroline Briggs,1,2,1.74
Jim Lewis,4,2,1.86
Sarah Clarke,1,3,2.17
Elizabeth Nunez,1,3,1.96
Alexandra Gray,3,3,2.21
Kristen Browning,3,2,1.72
Veronica Wood,2,1,1.74
Beth Walsh,1,3,2.01
Lawrence Michael,2,3,2.1
Kenneth Norris,2,2,1.93
Christopher Bird,2,3,1.91
Megan Price,4,3,2.26
Dr. Tracy Greer,1,1,1.7
Peter Patterson,2,2,1.93
Angela Sanders,1,2,2.03
David Hall,1,3,1.9
Patricia Graham,1,2,1.81
Marie Gonzales,1,2,1.96
Lori Li,2,3,1.69
Ricky Mullins,1,1,1.69
Kristopher Mcpherson,1,1,1.76
Kari Flores,1,1,1.74
Julia Kemp,4,1,1.68
Brianna Ingram,1,1,1.82
Gregory Harrison,1,2,1.77
Carol Jackson,2,1,1.58
Aaron Roberson,4,3,1.99
Alyssa Serrano,4,2,1.78
Shannon Lawrence,1,2,1.97
Jennifer Collins,1,3,1.94
Jeremiah Gutierrez,4,2,1.96
Carly Long,1,1,1.6
Jerry Watson,1,3,1.89
Russell Duke,1,2,1.67
Melissa Nixon,2,2,2.01
Patricia Conley,2,3,2.07
Shannon Wright,3,1,1.86
Laura Turner,3,2,1.85
Michael Gallegos,2,1,1.83
Bryan Richards,3,2,2.08
Luis Mclaughlin,3,2,1.72
Timothy Hoffman,2,1,1.97
Rebekah Ward,3,2,1.92
Cameron Ryan,4,3,2.22
Kimberly Lopez,2,3,2.21
Mark Webb MD,3,3,2.27
Anthony Anderson,1,3,1.96
Michael Johnson,1,3,1.99
Julie Hoffman,1,2,2.03
Amy Warren,2,2,1.99
Abigail Hendricks,1,2,1.78
Monica Roberts,2,2,1.91
Rebecca Russell,1,1,1.74
Samantha Mitchell,1,3,2.04
James Vasquez,1,3,1.97
Carlos Williams,1,1,1.65
Jessica Barnett,1,2,1.67
Lisa Woods,1,3,1.81
David Martin,1,1,1.67
Ronald Frey,2,2,2.1
William Walsh,1,2,1.7
Renee Wilson,2,3,1.91
Kellie Hanna,1,1,1.94
John Adams,2,3,2.18
Mr. Nicholas Collins,2,1,1.8
Heather Rose MD,1,3,2.04
Francis Howard,1,1,1.67
Scott Brandt,2,1,1.61
Monica Soto,2,2,1.92
Natalie Chapman,1,2,1.86
Leonard Brown,1,3,1.99
Pamela Mays,4,3,2.19
Leslie Benjamin,3,2,1.95
John Cortez,3,1,1.79
Thomas Rogers,4,3,1.71
Andrew Bryant,1,1,1.8
Jason Bruce,4,3,2.18
Michelle Garcia,2,1,1.65
Kevin Harris,2,1,1.61
Dylan Morrow,1,3,2.16
Megan Green,1,2,1.87
Christopher Gillespie,1,2,1.75
Mrs. Melissa Carpenter PhD,1,3,2.11
Mary Perez,4,2,1.71
Thomas Dunlap,2,3,2.01
Ashley Cook,3,2,1.84
Donna Russell DDS,1,1,1.84
Paul Moore,2,1,1.8
Jason Keller,3,1,1.8
Elizabeth Norton,3,2,1.84
Troy Flowers,4,1,1.6
Matthew Buchanan,1,1,1.82
Matthew Young,1,2,1.8
Amber Guerra,1,3,2.08
David Olson,1,2,1.64
Sarah Bowman,1,2,1.92
Patrick Adams,2,3,2.13
Benjamin Williams,4,1,1.59
Jennifer Fisher,1,3,2.15
Kenneth Huerta,3,1,1.65
Gabriel Avery,2,3,1.98
Jonathan Jackson,2,2,1.94
Zachary Ellis,2,3,2.06
Tonya Thompson,1,3,2.02
Gary Sandoval,2,2,1.96
Jeffrey Nelson,1,3,1.99
Sarah Mcgrath,2,1,1.7
Karen Payne MD,1,1,1.62
Mrs. Erin Taylor,1,2,1.88
Christina Rush,1,3,2.02
Lisa Bauer,4,3,2.0
Rhonda Faulkner,1,1,1.72
Kevin Sparks,4,3,2.13
Amanda Nichols,1,2,2.01
Emily Medina,1,1,1.76
Aaron Medina,1,3,1.96
Samuel Scott III,1,2,1.73
Ashley Garrett,1,3,1.98
Erin Chambers,1,3,1.7
Jordan Bell,2,2,1.87
Dennis Coleman,4,1,1.91
Amy Sanders,1,3,2.11
Steve White,1,1,1.75
James Robbins,2,1,1.73
Victoria Cunningham,1,1,1.61
Natalie Dickerson,1,3,1.83
Matthew Garza,1,2,2.06
Kevin Massey,1,3,2.08
Joseph Watson,2,1,1.65
Matthew Gonzalez,1,3,1.86
Chris Zimmerman,4,2,1.73
Sean Murray,1,2,2.03
Rebecca Long,4,2,1.95
Christopher Summers,1,2,1.81
Sherry Jimenez,1,2,1.73
Tyler Baker,4,3,2.05
Travis Campbell,1,2,1.58
Reginald Davis,2,1,1.72
Dana Wilson DDS,2,2,1.89
Stacey Ross,1,2,2.09
Jeremiah Miller,2,2,1.82
Lisa Torres,1,3,1.99
Amanda Myers,3,1,1.86
Kristen Coleman,2,1,1.67
Stacey Joseph,2,3,2.09
Jaclyn Cook,4,3,2.01
Eric Randall,4,2,1.85
Rebekah Benson,1,3,2.3
Claire Smith,1,3,2.25
Dominique Brown,1,3,2.16
Kyle Hinton,1,3,2.01
John Schmidt,3,3,2.16
Ashley Perkins,2,1,1.63
Tyler Proctor,2,1,1.55
Steven Fisher,3,3,1.99
Joel Abbott PhD,4,1,1.94
Denise Blanchard,2,1,1.58
Miss Casey Stevens DDS,1,3,1.94
Ashley Francis,2,3,1.96
Joshua Mullins,4,3,2.09
Robert Jackson,1,2,1.97
Elizabeth Davis,2,3,1.99
Diana Ryan,3,3,1.92
Joseph Mcdaniel,4,3,1.99
Kelsey Nelson,2,1,1.57
Kathleen Matthews,1,1,1.5
Erin Ramirez,1,3,1.95
Rebecca Elliott,1,3,1.97
Susan Turner,3,1,1.81
Amanda Brown,1,3,2.28
Linda Lane,1,2,1.81
Dr. Amy Ferguson,1,2,2.09
Yvonne Brown,1,2,1.9
John Anderson,1,1,1.82
Krista Meyers,4,3,2.07
Stephen Padilla,1,3,2.0
Dawn Yu,1,2,2.11
Daniel Butler,1,3,2.01
Samuel Johnston,1,1,1.71
Gina Wilson,1,1,1.72
David Watkins,1,3,2.08
Jacqueline Johnson,1,1,1.99
Sandra Mason,2,2,1.68
Thomas Nelson,1,2,1.9
Kristen Dennis,2,3,1.89
Connie Mack,2,1,1.5
Michael Washington,2,1,1.7
Richard Cunningham,1,1,1.55
Eric Garcia,3,1,1.98
Lori Reyes,1,3,2.11
Daniel Nash,1,2,2.05
Patricia Huerta,1,3,2.0
Mitchell Mcmillan,1,2,1.66
Lindsay Anderson,4,1,1.58
Virginia Jones,1,2,2.05
Maria Wolfe,2,2,1.75
Jennifer Anderson,2,2,1.83
Michael Jacobson,2,2,1.88
Stacy Duran,1,2,1.59
Jeffrey Roth,1,2,1.92
Mary Allen,2,1,1.92
Joshua Rowe,1,2,1.77
Julie Reese,2,2,1.82
Derek Horne,1,1,1.72
Maria Ingram,4,1,1.76
Cody Davies,1,3,1.96
Lauren Jacobson,2,1,1.81
Meghan Schroeder,2,2,1.96
Amber King,1,1,1.77
Eric Tucker,1,1,1.72
Danny Brown,1,1,1.84
Karen Jones,1,2,1.78
Betty Castro,1,3,1.87
Billy Bartlett,1,1,1.66
Jackie Sparks,1,1,1.73
Jennifer Mcconnell,1,3,2.15
Robert Jordan,1,3,2.0
Sarah Smith,3,2,1.77
Chelsea Deleon,3,1,1.76
Heather Logan,1,3,1.99
Lindsay Hill,1,1,1.53
Mrs. Barbara Cruz DVM,1,1,1.66
Mr. Brandon Simmons,1,2,1.96
Patricia Young,4,3,2.09
David Navarro,1,1,1.66
Wendy Owens,1,3,1.94
Dr. Michele Dixon,4,1,1.8
Jamie Murray,2,3,1.98
Wendy Knight,1,3,1.99
Lauren Peterson MD,1,2,1.9
Seth Wilkinson,1,3,1.86
Lisa Reeves,2,1,1.8
Nicole Rhodes,2,1,1.74
Jennifer Lewis,1,1,1.8
Joseph Bell,1,3,2.15
Anita Anthony,4,3,2.02
Zachary Franklin,3,1,1.5
Ashley Campos,2,2,1.75
Justin Le,1,3,1.91
Lindsay Woods,2,2,1.85
Gina Smith,1,2,1.74
Keith Reeves,1,1,1.85
Joseph Huffman,1,3,2.1
Dr. Tony Ortega,1,1,1.58
Suzanne Manning DDS,1,1,1.64
Sheena Bruce,1,1,1.77
Stacey Brown,1,1,1.72
Rodney Smith,1,1,1.79
Christopher Terry,2,2,2.01
Deanna Odom,3,2,1.82
Robert Hill,1,2,1.91
Todd Bryan,1,1,1.79
Jennifer Taylor,1,2,1.89
Adam Burns,2,1,1.64
Amber Harper,1,1,1.63
Sarah Jones,3,3,1.74
Marilyn Rivera,1,3,1.83
Shawn Johnson,2,2,2.06
Brooke Nguyen,1,3,2.13
Dawn Donaldson,3,2,1.85
Charles Rodriguez,1,2,1.89
Mary Tate,1,3,2.05
Jonathan Valdez,3,2,1.97
Taylor Parker,1,2,1.86
Curtis Diaz,3,2,2.07
Kristopher Thompson,1,1,1.68
Lisa Nichols,1,2,1.72
Allen Potter,1,1,2.02
Frances Perez,1,1,1.77
Michael Mcbride,2,3,1.94
Michelle Adams,1,3,1.98
Robert Walker,1,1,1.8
Michael Johnson,1,3,2.07
Heather Hale,2,2,1.87
Lacey Vance DDS,2,1,1.91
Gloria Harris DDS,1,2,2.14
Kevin Brown,1,1,1.81
Tammy Ortiz,1,1,1.78
Jessica Moore,1,3,2.21
Robert Johnson,2,1,1.81
Daniel Graham,1,3,2.02
Tyler Ortiz,1,1,1.73
Mr. Gregory Briggs,1,1,1.52
Timothy Cook,2,1,1.73
Gregory Conner,1,1,1.76
Jennifer Santos,2,1,1.62
Michael Gonzalez,1,2,1.84
Suzanne Smith,1,2,1.9
Sherri Manning,1,1,1.84
Joy Lee,3,1,1.5
Emily Campbell,1,2,1.96
Dakota Smith,4,2,1.58
Shannon Sparks,1,1,1.72
Scott Smith,1,2,1.96
Jessica Cummings,1,3,1.69
Joseph Young,1,3,2.11
Jacqueline Murphy,1,1,1.74
Brenda Stone,2,1,1.8
Michael Eaton,4,3,2.09
Eric Butler,2,3,2.16
Samantha Coleman,1,1,1.79
Michael Cole,1,2,1.94
Erin Brown,2,1,1.96
Steven Armstrong,2,1,1.79
Kristin Wheeler,1,1,1.67
Peter Shields,1,3,2.05
Mark Miller,3,2,1.89
Tyler Green,1,3,2.07
Joseph Curtis,2,3,1.97
Karen Robinson,2,3,2.02
Mark Reeves,1,3,2.04
Joshua Ruiz,2,2,1.89
Amy Hoffman,4,1,1.8
Joseph Love,1,1,1.73
Lisa Jenkins,2,2,1.93
Jose Ayers,1,1,1.65
Crystal Grant,2,2,1.96
Michael Hahn,1,3,2.13
Spencer Brown,1,3,2.15
Leslie Payne,4,3,2.06
Shawn Foster,1,1,1.67
Debbie Townsend,2,2,1.77
Yvonne Davis,1,2,1.74
Ricky Carter,1,3,1.77
Daisy Yu,4,1,1.66
Ricky Allen,1,2,1.92
Aaron Mccullough,1,1,1.75
Robert Campbell,2,3,2.0
James Taylor,3,1,1.61
Nicole Willis,1,2,1.91
Dr. Elizabeth Robinson MD,1,3,1.92
Karen Rice,1,3,2.05
Mark Clark,2,3,1.84
Darrell Romero,3,2,1.95
Theresa Johnson,2,2,1.9
Lauren Reynolds,1,2,1.82
Anthony Castro,2,2,1.86
Dawn Warren,1,3,1.99
Wesley Howell,1,1,1.64
Michelle Parker,1,2,2.1
Joseph Gutierrez,3,1,1.67
Juan Gilbert,1,1,1.5
Brittany Mclean,3,1,1.8
Sara Riley,2,3,2.14
Jessica Crawford,4,1,1.79
Yolanda Mitchell,1,3,1.87
Jessica Schmidt,1,3,1.92
Cheyenne Nelson,1,1,1.53
Dr. Jennifer Carter,2,1,1.68
Jonathan Gonzalez,1,2,2.05
Gregory Reynolds,2,1,1.78
Sean Peters,1,3,2.14
Cindy Atkinson,1,2,1.78
Linda Benitez,1,2,1.86
Jade Gonzalez,1,2,1.78
Donna Brown,1,3,2.14
Sarah Thompson,1,3,1.99
Brittany Harris,2,1,1.78
Chelsea Miller,1,1,1.5
Ariel Chavez,2,1,1.62
Savannah Lang,1,2,1.94
Charles Martinez,1,3,1.88
Nathaniel Watson,1,3,2.07
Joseph Martin,3,1,1.66
Laura Grant,4,1,1.82
Michelle Chen,2,2,1.66
Michael Mendoza,1,2,1.98
Kenneth Rodgers,1,3,1.82
Adrian Scott,1,1,1.81
Cesar Holland,2,3,1.95
Virginia Strickland,2,2,1.77
Neil Lopez,2,1,1.58
James Wells,3,3,1.96
Mitchell Flowers,1,1,1.5
Jesus Hamilton,1,2,1.66
Brandon Lopez,1,3,1.87
Kimberly Jacobs MD,1,1,1.72
Audrey Howe,4,2,1.85
Victor Blake,1,2,1.9
Teresa Johnson,1,1,1.9
Joshua Hernandez,3,2,1.89
John Cabrera,1,1,1.81
Jeffery Morton,1,2,1.86
Christopher Gomez,2,3,2.16
Jennifer Collins,1,2,2.17
Fred Duran,4,2,1.95
Stephen Sandoval,1,3,2.26
Eric Phillips,1,3,2.01
Ethan Mcgrath,1,3,2.27
Albert Johnson,1,2,2.11
Donald Mcclure,1,3,1.95
Keith Thornton,1,3,2.23
Daniel Wright,2,1,1.69
Richard Owen,1,1,1.56
Brianna Malone,2,3,2.21
Charles Jones,3,2,2.05
Jennifer Johnson,4,1,1.74
Edwin Morales,1,1,1.61
Christopher Beasley,2,2,1.8
Tony Perry,4,3,2.09
Jennifer Phillips,1,2,1.77
Edward Smith,1,2,1.93
Johnny Perez,1,1,1.67
Jacob Morris,2,1,1.5
Drew Smith,3,2,1.91
Kiara Martinez,3,1,1.74
Shawn Smith,1,1,1.6
James Parrish,1,1,1.83
Edward Frank,1,3,1.81
Michelle Mitchell,4,1,1.75
Ronald Walsh,1,2,2.06
Carolyn Peters,1,2,1.85
Reginald Alvarado,2,3,2.1
Ashley Adams,1,3,2.08
Samantha Howe,1,2,1.83
Brian Morgan,4,2,2.01
David Moore,2,3,2.3
Ryan Mclaughlin Jr.,4,1,1.78
Anne Jones,1,1,1.8
Alan Foster,4,2,1.96
Tracy Davis,2,3,2.11
William Nguyen,1,1,1.63
Jennifer Andrews,2,1,1.78
Robert Meyers,4,2,1.99
Denise Lee,1,2,2.03
Kevin Delgado,1,3,1.96
Mark Taylor,1,1,1.68
James Wang,1,1,1.92
Misty Todd,1,1,1.71
Miss Melissa Miller MD,1,2,2.05
John Sellers,1,3,2.06
Carrie Chambers,1,2,1.98
Cheryl Lopez MD,1,2,1.81
Brittany Pittman,1,2,1.84
Danielle Freeman,3,2,1.93
Brenda Lucero,2,3,2.15
Steven Kline,1,1,1.95
Vickie Bolton,4,3,2.05
Barbara Watson,1,3,1.97
Christine Wolfe,2,2,2.01
Joanna Smith,1,1,1.7
